Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-tracker.tb.case.surveillance.ig.json	10924	-	0	0	0	0	0	0	11	186	0	0	0	0	0	0	0	1	0	0	199	222	0	0	0	0	11	0	1
fsh-generated/resources/CodeSystem-GENYesNoUnknownCS.json	700	4	0	0	0	0	0	0	0	25	0	0	1	0	0	0	0	0	0	0	28	1658	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-RRTGENSexCS.json	622	2	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	28	74	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-susceptible-resistant-indeterminate-cs.json	563	2	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	27	63	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-tb-cs---confirmation-method-cs.json	471	3	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	25	53	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tb-cs---denotification-reasons-cs.json	714	2	1	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	26	60	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tb-cs---resistance-classification-cs.json	660	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	18	56	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-tb-cs---site-of-disease-cs.json	541	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	21	52	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tb-cs---treatment-category-cs.json	489	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	17	47	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tb-cs---treatment-history-cs.json	801	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	19	51	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tb-cs---treatment-outcome-cs.json	970	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	19	52	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-tb-lab---dst-result-cs.json	571	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	17	47	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tb-lab---final-culture-result-cs.json	574	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	27	49	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tb-lab---lpa-specimen-cs.json	481	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	44	48	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-tb-lab---mtb-test-result-cs.json	633	2	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	28	48	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tb-lab---sample-quality-cs.json	463	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	17	51	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tb-lab---sample-status-cs.json	429	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	17	33	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tb-lab---smear-result-cs.json	633	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	30	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-TBCaseSurveillanceQuestionnaire.json	4429	3	1	0	0	0	0	0	1	104	0	0	0	0	0	0	0	0	0	0	92	5704	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-DiagnosisAndNotification.json	9610	5	0	0	0	0	0	14	0	25	0	0	0	0	0	0	0	0	0	0	160	1011	0	0	1	0	12	0	1
