URL,Version,Status,OIDs,Name,Title,Description,Used
http://example.org/CodeSystem/GENYesNoUnknownCS,0.1.0,draft,,GENYesNoUnknownCS,GEN - Yes/No/Unknown,"",
http://example.org/CodeSystem/RRTGENSexCS,0.1.0,draft,,RRTGENSexCS,RRT - GEN - Sex,"",
http://example.org/CodeSystem/susceptible-resistant-indeterminate-cs,0.1.0,draft,,SusceptibleResistantIndeterminateCS,Susceptible/Resistant/Indeterminate,"",
http://example.org/CodeSystem/tb-cs---confirmation-method-cs,0.1.0,draft,,TBCSConfirmationMethodCS,TB CS - Confirmation method,"",
http://example.org/CodeSystem/tb-cs---denotification-reasons-cs,0.1.0,draft,,TBCSDenotificationReasonsCS,TB CS - Denotification reasons,"",
http://example.org/CodeSystem/tb-cs---resistance-classification-cs,0.1.0,draft,,TBCSResistanceClassificationCS,TB CS - Resistance Classification,"",
http://example.org/CodeSystem/tb-cs---site-of-disease-cs,0.1.0,draft,,TBCSSiteOfDiseaseCS,TB CS - Site of disease,"",
http://example.org/CodeSystem/tb-cs---treatment-category-cs,0.1.0,draft,,TBCSTreatmentCategoryCS,TB CS - Treatment category,"",
http://example.org/CodeSystem/tb-cs---treatment-history-cs,0.1.0,draft,,TBCSTreatmentHistoryCS,TB CS - Treatment history,"",
http://example.org/CodeSystem/tb-cs---treatment-outcome-cs,0.1.0,draft,,TBCSTreatmentOutcomeCS,TB CS - Treatment outcome,"",
http://example.org/CodeSystem/tb-lab---dst-result-cs,0.1.0,draft,,TBLABDSTResultCS,TB-LAB - DST result,"",
http://example.org/CodeSystem/tb-lab---final-culture-result-cs,0.1.0,draft,,TBLABFinalCultureResultCS,TB-LAB - Final culture result,"",
http://example.org/CodeSystem/tb-lab---lpa-specimen-cs,0.1.0,draft,,TBLABLPASpecimenCS,TB-LAB - LPA specimen,"",
http://example.org/CodeSystem/tb-lab---mtb-test-result-cs,0.1.0,draft,,TBLABMTBTestResultCS,TB-LAB - MTB test result,"",
http://example.org/CodeSystem/tb-lab---sample-quality-cs,0.1.0,draft,,TBLABSampleQualityCS,TB-LAB - Sample quality,"",
http://example.org/CodeSystem/tb-lab---sample-status-cs,0.1.0,draft,,TBLABSampleStatusCS,TB-LAB - Sample status,"",
http://example.org/CodeSystem/tb-lab---smear-result-cs,0.1.0,draft,,TBLABSmearResultCS,TB-LAB - Smear result,"",
